english,polish,type,level
arms/ weapon,broń,rzeczownik,B2
gun,broń palna,rzeczownik,A2
dirt,brud,rzeczownik,B1
dirty,brudny,przymiotnik,A1
mess,brudzić,czasownik,B1
block,bryła,rzeczownik,B1
edge,brzeg,rzeczownik,B1
bank (river),brzeg (rzeki),rzeczownik,B1
sound,brzmieć,czasownik,A1
stomach,brzuch,rzeczownik,A2
ugly,brzydki,przymiotnik,B1
brown,brąz,rzeczownik,A1
brown,brązowy,przymiotnik,A1
construction,budowa,rzeczownik,B2
build/ construct,budować,czasownik,A1
building,budynek,rzeczownik,A1
wake,budzić (się),czasownik,A1
budget,budżet,rzeczownik,B2
storm,burza,rzeczownik,A2
rough,burzliwy,przymiotnik,B1
shoe,but,rzeczownik,A1
boot,but (wysoki),rzeczownik,A1
trainer,but sportowy,rzeczownik,A2
bottle,butelka,rzeczownik,A1
roll,bułka,rzeczownik,B1
bright,bystry,przymiotnik,A2
being/ existence,byt,rzeczownik,B2
be,być,czasownik,A1
be,być (posiłkowy),czasownik posiłkowy,A1
owe,być dłużnym,czasownik,B2
host,być gospodarzem,czasownik,B2
perhaps/ possibly,być może,przysłówek,A2
obey,być posłusznym,czasownik,B2
face,być zwróconym ku,czasownik,B1
witness,być świadkiem,czasownik,B2
would,byłby,czasownik modalny,A1
former,były,przymiotnik,B2
rubbish,bzdury,rzeczownik,A2
god,bóg,rzeczownik,A2
fighting,bójka,rzeczownik,B1
hurt/ pain,ból,rzeczownik,B2
headache,ból głowy,rzeczownik,A2
drum,bęben,rzeczownik,B1
will,będzie (operator czasu przyszłego),czasownik modalny,A1
opposed,będący w opozycji,przymiotnik,B2
beg,błagać,czasownik,B2
common,błonia,rzeczownik,B2
dirt/ mud,błoto,rzeczownik,B1
flash,błysk,rzeczownik,B2
flash,błyskać,czasownik,B2
brilliant,błyskotliwy,przymiotnik,A2
shine,błyszczeć,czasownik,B1
shiny,błyszczący,przymiotnik,B1
error/ fault/ mistake,błąd,rzeczownik,A2
false/ wrong,błędny,przymiotnik,A1
blue,błękit,rzeczownik,A1
inch,cal,rzeczownik,B2
camping,camping,rzeczownik,A2
fairly/ pretty/ quite,całkiem,przysłówek,B1
absolutely/ all/ completely/ entirely/ fully/ perfectly/ totally,całkowicie,przysłówek,B1
entire/ overall/ total,całkowity,przymiotnik,B2
kiss,całować,czasownik,B1
whole,całość,rzeczownik,B1
all,cały,określnik,A1
entire/ whole,cały,przymiotnik,B2
onion,cebula,rzeczownik,A1
characteristic/ feature,cecha,rzeczownik,B2
aim/ goal/ objective/ purpose/ target,cel,rzeczownik,B1
destination,cel podróży,rzeczownik,B1
celebrate,celebrować,czasownik,A2
celebrity,celebryta,rzeczownik,A2
aim/ target,celować,czasownik,B1
sight,celownik,rzeczownik,B1
deliberately,celowo,przysłówek,B2
deliberate,celowy,przymiotnik,B2
cost/ price,cena,rzeczownik,A1
value,ceniać,czasownik,B2
valuable,cenny,przymiotnik,B1
cent,cent,rzeczownik,A1
central,centralny,przymiotnik,B1
centre,centrum,rzeczownik,A1
mall,centrum handlowe,rzeczownik,B1
ceremony,ceremonia,rzeczownik,B1
character/ personality,charakter,rzeczownik,A2
characteristic,charakterystyczny,przymiotnik,B2
characteristic,charakterystyka,rzeczownik,B2
cottage,chata,rzeczownik,B1
would,chciałby (operator trybu przypuszczającego),czasownik modalny,A1
want,chcieć,czasownik,A1
chemistry,chemia,rzeczownik,A2
chemical,chemiczny,przymiotnik,B1
chemical,chemikalia,rzeczownik,B1
chip,chip,rzeczownik,A2
surgery,chirurgia,rzeczownik,B2
bread,chleb,rzeczownik,A1
cloud,chmura,rzeczownik,A2
although/ while,chociaż,spójnik,A2
though,chociaż,spójnik / przysłówek,B1
disease/ illness,choroba,rzeczownik,A2
ill/ sick,chory,przymiotnik,A2
bury,chować,czasownik,B1
hide,chować (się),czasownik,A2
preserve/ protect,chronić,czasownik,B2
shelter,chronić (się),czasownik,B2
thin,chudy,przymiotnik,A2
praise,chwalić,czasownik,B2
moment/ while,chwila,rzeczownik,A1
catch/ hold,chwyt,rzeczownik,B2
catch/ grab,chwytać,czasownik,A2
unless,chyba że,spójnik,B1
miss,chybić,czasownik,A1
glad/ keen/ willing,chętny,przymiotnik,B1
desire,chęć,rzeczownik,B2
cool,chłodny,przymiotnik,A1
cool,chłodzić,czasownik,B1
boyfriend,chłopak (partner),rzeczownik,A1
boy,chłopiec,rzeczownik,A1
tight,ciasny,przymiotnik,B1
biscuit/ cake,ciastko,rzeczownik,A2
cake,ciasto,rzeczownik,A1
body,ciało,rzeczownik,A1
solid,ciało stałe,rzeczownik,B1
quietly,cicho,przysłówek,A2
quiet/ silent,cichy,przymiotnik,A1
liquid,ciecz,rzeczownik,B1
interesting,ciekawy,przymiotnik,A1
dark,ciemność,rzeczownik,A2
dark,ciemny,przymiotnik,A1
thin,cienki,przymiotnik,A2
heat,ciepło,rzeczownik,A2
warm,ciepły,przymiotnik,A1
suffer,cierpieć,czasownik,B1
lack,cierpieć na brak,czasownik,B1
patient,cierpliwy,przymiotnik,B2
enjoy,cieszyć się,czasownik,A1
shade,cień,rzeczownik,B2
shadow,cień (rzucany przez przedmiot),rzeczownik,B2
aunt,ciocia,rzeczownik,A1
hit,cios,rzeczownik,A2
silence,cisza,rzeczownik,B2
string,ciąg,rzeczownik,B1
constantly,ciągle,przysłówek,B2
drag/ pull,ciągnąć,czasownik,B2
continuous,ciągły,przymiotnik,B1
cut,ciąć,czasownik,A1
cut,cięcie,rzeczownik,B1
weight,ciężar,rzeczownik,A2
lorry/ truck,ciężarówka,rzeczownik,A2
heavy/ severe,ciężki,przymiotnik,A2
hard/ heavily,ciężko,przysłówek,A1
pressure,ciśnienie,rzeczownik,B1
what,co,zaimek / określnik,A1
furthermore,co więcej,przysłówek,B2
daily,codziennie,przysłówek,B1
routine,codzienność,rzeczownik,A1
daily/ everyday,codzienny,przymiotnik,A2
back,cofać,czasownik,B2
anything,cokolwiek,zaimek,A1
whatever,cokolwiek,zaimek / określnik,B1
increasingly,coraz bardziej,przysłówek,B2
increasingly,coraz częściej,przysłówek,B2
annual,coroczny,przymiotnik,B2
something,coś,zaimek,A1
extra,coś ekstra,rzeczownik,B1
worse,coś gorszego,rzeczownik,B2
better,coś lepszego,rzeczownik,B1
wonder,cud,rzeczownik,B1
wonderful,cudowny,przymiotnik,A1
quote,cudzysłów,rzeczownik,B1
sugar,cukier,rzeczownik,A1
sweet,cukierek,rzeczownik,A2
digital,cyfrowy,przymiotnik,A2
cycle/ series,cykl,rzeczownik,A2
tin,cyna,rzeczownik,B1
quotation/ quote,cytat,rzeczownik,B1
cite/ quote,cytować,czasownik,B2
lemon,cytryna,rzeczownik,A2
civil,cywilny,przymiotnik,B2
cap/ hat,czapka,rzeczownik,B1
black,czarny,przymiotnik,A1
time,czas,rzeczownik,A1
leisure,czas wolny,rzeczownik,B1
sometimes,czasami,przysłówek,A1
journal/ magazine,czasopismo,rzeczownik,B1
chat,czat,rzeczownik,A2
chat,czatować,czasownik,A2
honour,czcić,czasownik,B2
check,czek,rzeczownik,A2
wait,czekanie,rzeczownik,A2
wait,czekać,czasownik,A1
chocolate,czekolada,rzeczownik,A1
champion,czempion,rzeczownik,B1
June,czerwiec,rzeczownik,A1
red,czerwień,rzeczownik,A1
red,czerwony,przymiotnik,A1
black,czerń,rzeczownik,A1
brush,czesać,czasownik,A2
hi,cześć,wykrzyknik,A1
hello,cześć,wykrzyknik / rzeczownik,A1
tank,czołg,rzeczownik,B2
leading,czołowy,przymiotnik,B1
forty,czterdzieści,liczebnik,A1
fourteen,czternaście,liczebnik,A1
four,cztery,liczebnik,A1
tip,czubek,rzeczownik,A2
watch,czuwać,czasownik,A1
feel,czuć,czasownik,A1
sensitive,czuły,przymiotnik,B2
Thursday,czwartek,rzeczownik,A1
fourth,czwarty,liczebnik,A1
if/ or/ whether,czy,spójnik,A1
whose,czyj,zaimek / określnik,A2
do (main),czynić,czasownik,A1
factor,czynnik,rzeczownik,A2
rent,czynsz,rzeczownik,B1
pure,czystej krwi,przymiotnik,B2
blank/ clean/ clear/ pure,czysty,przymiotnik,A2
reading,czytanie,rzeczownik,A1
read,czytać,czasownik,A1
reader,czytelnik,rzeczownik,A1
clean/ clear,czyścić,czasownik,A1
frequently/ often,często,przysłówek,B1
frequency,częstotliwość,rzeczownik,B2
partly,częściowo,przysłówek,B2
part,część,rzeczownik,A1
member,członek (np. organizacji),rzeczownik,A1
human,człowiek,rzeczownik,A2
daughter,córka,rzeczownik,A1
well,cóż,wykrzyknik,A1
duty,cło,rzeczownik,B1
roof,dach,rzeczownik,A2
beyond/ further/ on,dalej,przysłówek,B2
far,daleki,przymiotnik,B1
away/ far/ way,daleko,przysłówek,A1
further,dalszy,przymiotnik,A2
lady,dama,rzeczownik,A2
statistic,dana statystyczna,rzeczownik,B1
data,dane,rzeczownik,A2
course/ dish,danie,rzeczownik,A1
gift,dar,rzeczownik,A2
free,darmowy,przymiotnik,A1
donate,darować,czasownik,B1
date,data,rzeczownik,A1
date,datować,czasownik,B2
give,dawać,czasownik,A1
imply,dawać do zrozumienia,czasownik,B2
tip,dawać napiwek,czasownik,B1
fix,dawka,rzeczownik,B2
used to,dawniej (robic coś),czasownik modalny,A2
care,dbać,czasownik,A2
debate,debata,rzeczownik,B2
debate,debatować,czasownik,B2
decide,decydować,czasownik,A1
decision,decyzja,rzeczownik,A2
definition,definicja,rzeczownik,B1
define,definiować,czasownik,B1
decade,dekada,rzeczownik,B1
declare,deklarować,czasownik,B2
decoration,dekoracja,rzeczownik,B2
decorate,dekorować,czasownik,B1
gentle/ soft,delikatny,przymiotnik,B1
demonstrate,demonstrować,czasownik,B2
dentist,dentysta,rzeczownik,A2
department,departament,rzeczownik,A2
rain,deszcz,rzeczownik,A1
detail,detal,rzeczownik,A1
detective,detektyw,rzeczownik,A2
diagram,diagram,rzeczownik,B1
dialogue,dialog,rzeczownik,A1
diamond,diament,rzeczownik,B1
diet,dieta,rzeczownik,A1
for,dla,przyimek,A1
why,dlaczego,przysłówek,A1
therefore,dlatego,przysłówek,B1
so,dlatego,przysłówek / spójnik,A1
blow,dmuchać,czasownik,A2
wage,dniówka,rzeczownik,B2
bottom,dno,rzeczownik,A2
into/ to,do,przyimek,A1
onto,do (zmiana położenia),przyimek,A2
home,do domu,przysłówek,A1
forward,do przodu,przysłówek,A2
backwards,do tyłu,przysłówek,B1
bye,do widzenia,wykrzyknik,A1
goodbye,do widzenia,wykrzyknik / rzeczownik,A1
inside/ into,do środka,przyimek,A2
in,do środka,przysłówek,A1
good,dobro,rzeczownik,A2
charity,dobroczynność,rzeczownik,A2
fine/ good/ well,dobry,przymiotnik,A1
OK,dobry,przymiotnik / przysłówek,A1
right/ well,dobrze,przysłówek,A1
OK/ all right,dobrze,wykrzyknik,A2
familiar,dobrze znany,przymiotnik,B1
appreciate,doceniać,czasownik,B1
investigation,dochodzenie,rzeczownik,B2
income,dochód,rzeczownik,B2
get/ reach,docierać,czasownik,A1
addition/ extra,dodatek,rzeczownik,B1
extra,dodatkowo,przysłówek,B1
additional/ extra,dodatkowy,przymiotnik,B2
plus,dodatkowy,przymiotnik / spójnik / rzeczownik,B2
addition,dodawanie,rzeczownik,B1
add,dodać,czasownik,A1
plus,dodać,przyimek,B1
doctor,doktor,rzeczownik,A1
document,dokument,rzeczownik,A2
document,dokumentować,czasownik,B2
exactly,dokładnie,przysłówek,A2
accurate/ exact,dokładny,przymiotnik,B2
dollar,dolar,rzeczownik,A1
valley,dolina,rzeczownik,A2
bottom/ downstairs,dolny,przymiotnik,A2
home,dom,rzeczownik,A1
house,dom (budynek),rzeczownik,A1
cottage,domek wiejski,rzeczownik,B1
dominate,dominować,czasownik,B2
domestic/ home/ indoor,domowy,przymiotnik,B2
guess,domysł,rzeczownik,A1
pot,doniczka,rzeczownik,B1
around,dookoła,przyimek,A1
round,dookoła,przysłówek / przyimek,A2
matching,dopasowany,przymiotnik,B2
match,dopasować,czasownik,A1
object,dopełnienie,rzeczownik,A1
acceptable,dopuszczalny,przymiotnik,B2
till/ until,dopóki,spójnik / przyimek,B1
adult,dorosły,przymiotnik,A2
equal,dorównywać,czasownik,B1
excellent/ perfect,doskonały,przymiotnik,A2
deliver/ provide/ supply,dostarczać,czasownik,B1
delivery,dostawa,rzeczownik,B2
get,dostawać,czasownik,A1
adapt,dostosować,czasownik,B2
spot,dostrzec,czasownik,B2
access,dostęp,rzeczownik,B1
available,dostępny,przymiotnik,A2
pretty/ rather,dosyć,przysłówek,A1
grant,dotacja,rzeczownik,B2
concern/ involve/ relate,dotyczyć,czasownik,B2
feel/ touch,dotyk,rzeczownik,B2
touch,dotykać,czasownik,A2
evidence,dowody,rzeczownik,A2
command,dowodzić,czasownik,B2
evidence/ proof,dowód,rzeczownik,A2
suffer,doznawać,czasownik,B1
attach/ join,dołączyć,czasownik,B1
experience,doświadczać,czasownik,B1
experience/ experiment,doświadczenie,rzeczownik,A2
experienced,doświadczony,przymiotnik,B1
enough/ fairly/ quite,dość,przysłówek,A1
drama,dramat,rzeczownik,A2
dramatic,dramatyczny,przymiotnik,B2
annoy,drażnić,czasownik,B1
wooden,drewniany,przymiotnik,A2
wood,drewno,rzeczownik,A2
minor/ slight,drobny,przymiotnik,B2
path/ road/ route/ way,droga,rzeczownik,B1
dear/ expensive,drogi,przymiotnik,A1
second (next after first),drugi,liczebnik / określnik,A1
secondary,drugorzędny,przymiotnik,B1
print/ printing,druk,rzeczownik,B2
printer,drukarka,rzeczownik,A2
printing,drukowanie,rzeczownik,B1
print,drukować,czasownik,A2
wire,drut,rzeczownik,B2
team,drużyna,rzeczownik,A1
tree,drzewo,rzeczownik,A1
door,drzwi,rzeczownik,A1
ghost/ spirit,duch,rzeczownik,B1
spiritual,duchowy,przymiotnik,B2
proud,dumny,przymiotnik,B1
soul,dusza,rzeczownik,B2
lot,dużo,określnik,A1
many/ much,dużo,określnik / zaimek,A1
lot,dużo,zaimek,A1
big/ large,duży,przymiotnik,A1
two,dwa,liczebnik,A1
twice,dwa razy,przysłówek,A1
twenty,dwadzieścia,liczebnik,A1
twelve,dwanaście,liczebnik,A1
station,dworzec,rzeczownik,A1
twice,dwukrotnie,przysłówek,A1
smoke,dym,rzeczownik,A2
director/ executive,dyrektor,rzeczownik,A2
discipline,dyscyplina,rzeczownik,B2
disc,dysk,rzeczownik,B2
debate/ discussion,dyskusja,rzeczownik,B2
discuss,dyskutować,czasownik,A1
distance,dystans,rzeczownik,A2
distribution,dystrybucja,rzeczownik,B2
carpet,dywan,rzeczownik,A2
duty,dyżur,rzeczownik,B1
grandfather,dziadek,rzeczownik,A1
grandparent,dziadek lub babcia,rzeczownik,A1
happen,dziać się,czasownik,A1
department/ section/ unit,dział,rzeczownik,A2
action/ operation,działanie,rzeczownik,A1
act/ function/ operate/ work,działać,czasownik,A2
plot,działka,rzeczownik,B1
kid,dzieciak,rzeczownik,A2
childhood,dzieciństwo,rzeczownik,B1
baby/ child/ kid,dziecko,rzeczownik,A1
area/ field,dziedzina,rzeczownik,A1
divide/ share/ split,dzielić (się),czasownik,B1
district/ quarter,dzielnica,rzeczownik,B2
brave,dzielny,przymiotnik,B1
diary/ journal,dziennik,rzeczownik,A2
national,dziennik ogólnokrajowy,rzeczownik,B2
journalist/ reporter,dziennikarz,rzeczownik,A2
decade,dziesięciolecie,rzeczownik,B1
ten,dziesięć,liczebnik,A1
girl,dziewczyna,rzeczownik,A1
girlfriend,dziewczyna (partnerka),rzeczownik,A1
nineteen,dziewiętnaście,liczebnik,A1
nine,dziewięć,liczebnik,A1
ninety,dziewięćdziesiąt,liczebnik,A1
creation/ work,dzieło,rzeczownik,B2
day,dzień,rzeczownik,A1
hello,dzień dobry,wykrzyknik / rzeczownik,A1
wildlife,dzika przyroda,rzeczownik,B2
wild,dziki,przymiotnik,A2
today,dzisiaj,przysłówek / rzeczownik,A1
hole/ tear,dziura,rzeczownik,A2
wonder,dziwić się,czasownik,B1
odd/ strange,dziwny,przymiotnik,B1
thanks,dzięki,wykrzyknik / rzeczownik,A1
thank,dziękować,czasownik,A1
tonight,dziś w nocy,przysłówek / rzeczownik,A1
tonight,dziś wieczorem,przysłówek / rzeczownik,A1
bell,dzwon,rzeczownik,B1
bell/ ring (object)/ ring (sound),dzwonek,rzeczownik,B1
call/ phone/ ring (sound)/ telephone,dzwonić,czasownik,A1
aim/ tend,dążyć,czasownik,B1
pursue/ seek,dążyć do,czasownik,B2
hand,dłoń,rzeczownik,A1
debt,dług,rzeczownik,B2
long,długi,przymiotnik,A1
long,długo,przysłówek,A1
pen,długopis,rzeczownik,A1
long-term,długoterminowo,przysłówek,B2
long-term,długoterminowy,przymiotnik,B2
length,długość,rzeczownik,B1
sound/ tone,dźwięk,rzeczownik,A1
ring (sound),dźwięk dzwonka,rzeczownik,B1
jam,dżem,rzeczownik,A2
gentleman,dżentelmen,rzeczownik,B1
jeans,dżinsy,rzeczownik,A1
email,e-mail,rzeczownik,A1
education,edukacja,rzeczownik,A2
educational,edukacyjny,przymiotnik,B1
educate,edukować,czasownik,B1
edition,edycja,rzeczownik,B2
edit,edytować,czasownik,B2
effect,efekt,rzeczownik,A2
effectively,efektywnie,przysłówek,B1
effective,efektywny,przymiotnik,B1
exam/ examination,egzamin,rzeczownik,A1
examine,egzaminować,czasownik,B1
copy,egzemplarz,rzeczownik,A2
crew,ekipa,rzeczownik,B2
economy,ekonomia,rzeczownik,B1
economic,ekonomiczny,przymiotnik,B1
screen,ekran,rzeczownik,A2
excitement,ekscytacja,rzeczownik,B1
exciting,ekscytujący,przymiotnik,A1
expedition,ekspedycja,rzeczownik,B1
expert,ekspercki,przymiotnik,A2
expert,ekspert,rzeczownik,A2
experiment,eksperyment,rzeczownik,A2
experiment,eksperymentować,czasownik,B1
exploration,eksploracja,rzeczownik,B2
explosion,eksplozja,rzeczownik,B1
expose,eksponować,czasownik,B2
export,eksport,rzeczownik,B1
export,eksportować,czasownik,B1
expression,ekspresja,rzeczownik,A2
extra,ekstra,przysłówek,B1
extreme,ekstremalny,przymiotnik,A2
flexible,elastyczny,przymiotnik,B2
smart,elegancki,przymiotnik,B1
electronic,elektroniczny,przymiotnik,A2
electricity,elektryczność,rzeczownik,A2
electric,elektryczny,przymiotnik,A2
electrical,elektryczny (dotyczący elektryczności),przymiotnik,A2
element/ piece,element,rzeczownik,B1
retired,emerytowany,przymiotnik,B1
pension,emerytura,rzeczownik,B2
emphasis,emfaza,rzeczownik,B2
emotion,emocja,rzeczownik,B1
emotional,emocjonalny,przymiotnik,B2
energy,energia,rzeczownik,A2
enthusiastic,entuzjastyczny,przymiotnik,B2
enthusiasm,entuzjazm,rzeczownik,B2
episode,epizod,rzeczownik,B1
essay,esej,rzeczownik,A2
phase/ stage,etap,rzeczownik,B2
ethical,etyczny,przymiotnik,B2
label,etykieta,rzeczownik,B1
label,etykietować,czasownik,B1
euro,euro,rzeczownik,A1
factory/ plant,fabryka,rzeczownik,A2
plot,fabuła,rzeczownik,B1
guy,facet,rzeczownik,A2
trade,fach,rzeczownik,B1
expert,fachowy,przymiotnik,A2
pipe,fajka,rzeczownik,B1
cool/ fun,fajny,przymiotnik,A1
fact,fakt,rzeczownik,A1
actual,faktyczny,przymiotnik,B2
wave,fala,rzeczownik,A2
fan,fan,rzeczownik,A2
fantastic,fantastyczny,przymiotnik,A1
paint,farba,rzeczownik,A1
farm,farma,rzeczownik,A1
luck,fart,rzeczownik,A2
fascinating,fascynujący,przymiotnik,B1
bean,fasola,rzeczownik,A2
favour,faworyzować,czasownik,B2
phase/ stage,faza,rzeczownik,B2
fold,fałda,rzeczownik,B2
false,fałszywy,przymiotnik,A1
phenomenon,fenomen,rzeczownik,B2
festival,festiwal,rzeczownik,A1
figure,figura,rzeczownik,A2
fiction,fikcja,rzeczownik,A2
cup,filiżanka,rzeczownik,A1
film/ movie/ video,film,rzeczownik,A1
documentary,film dokumentalny,rzeczownik,B1
release,film),czasownik,B1
film/ shoot,filmować,czasownik,A2
genre,filmowy),rzeczownik,B2
philosophy,filozofia,rzeczownik,B2
finance,finanse,rzeczownik,B2
funding,finansowanie,rzeczownik,B2
finance/ fund,finansować,czasownik,B2
financial,finansowy,przymiotnik,B1
final,finał,rzeczownik,A2
purple,fiolet,rzeczownik,A1
purple,fioletowy,przymiotnik,A1
company/ firm,firma,rzeczownik,A1
physical,fizyczny,przymiotnik,A2
physics,fizyka,rzeczownik,A2
flag,flaga,rzeczownik,B1
form/ shape,forma,rzeczownik,A1
shall,forma czasu przyszłego,czasownik modalny,A2
formal,formalny,przymiotnik,A2
form/ shape,formować,czasownik,A1
form,formularz,rzeczownik,A1
piano,fortepian,rzeczownik,A1
fortune,fortuna,rzeczownik,B2
photographer,fotograf,rzeczownik,B1
photo/ photograph,fotografia,rzeczownik,A1
photography,fotografia (dziedzina),rzeczownik,B1
photograph,fotografować,czasownik,A2
passage,fragment,rzeczownik,B2
phrase,fraza,rzeczownik,A1
front,front,rzeczownik,A1
chip,frytka,rzeczownik,A2
fundamental,fundamentalny,przymiotnik,B2
treat,fundować,czasownik,B1
fund,fundusz,rzeczownik,B2
funding,fundusze,rzeczownik,B2
feature/ function,funkcja,rzeczownik,A2
