english,polish,type,level
agreement,umowa / porozumienie,rzeczownik,B1
ah,ach,wykrzyknik,A2
ahead,z przodu / przed nami,przysłówek,B1
aid,pomoc,rzeczownik,B2
aid,pomagać / wspierać,czasownik,B2
aim,celować / dążyć,czasownik,B1
aim,cel,rzeczownik,B1
air,powietrze,rzeczownik,A1
aircraft,samolot / statek powietrzny,rzeczownik,B2
airline,linia lotnicza,rzeczownik,A2
airport,lotnisko,rzeczownik,A1
alarm,alarm,rzeczownik,B1
alarm,niepokoić / alarmować,czasownik,B2
album,album,rzeczownik,B1
alcohol,alkohol,rzeczownik,B1
alcoholic,alkoholowy,przymiotnik,B1
alive,żywy,przymiotnik,A2
all,każdy / cały,określnik,A1
all,wszystko / wszyscy,zaimek,A1
all,całkowicie,przysłówek,A2
all right,w porządku,przymiotnik,A2
all right,w porządku,przysłówek,A2
all right,w porządku / dobrze,wykrzyknik,A2
allow,pozwalać,czasownik,A2
almost,prawie,przysłówek,A2
alone,sam / samotny,przymiotnik,A2
alone,samotnie / tylko,przysłówek,A2
along,wzdłuż,przyimek,A2
along,naprzód / wzdłuż,przysłówek,A2
already,już,przysłówek,A2
also,także / również,przysłówek,A1
alter,zmieniać,czasownik,B2
alternative,alternatywa,rzeczownik,A2
alternative,alternatywny,przymiotnik,B1
although,chociaż / mimo że,spójnik,A2
always,zawsze,przysłówek,A1
amazed,zdumiony,przymiotnik,B1
amazing,niesamowity,przymiotnik,A1
ambition,ambicja,rzeczownik,B1
ambitious,ambitny,przymiotnik,B1
among,pomiędzy / wśród,przyimek,A2
amount,ilość / kwota,rzeczownik,A2
amount,wynosić / równać się,czasownik,B2
analyse,analizować,czasownik,B1
analysis,analiza,rzeczownik,B1
ancient,starożytny,przymiotnik,A2
and,i,spójnik,A1
anger,gniew,rzeczownik,B2
angle,kąt,rzeczownik,B2
angry,zły / gniewny,przymiotnik,A1
animal,zwierzę,rzeczownik,A1
ankle,kostka,rzeczownik,A2
anniversary,rocznica,rzeczownik,B2
announce,ogłosić,czasownik,B1
announcement,ogłoszenie / komunikat,rzeczownik,B1
annoy,irytować / drażnić,czasownik,B1
annoyed,zirytowany,przymiotnik,B1
annoying,irytujący,przymiotnik,B1
annual,coroczny,przymiotnik,B2
another,inny / kolejny,określnik,A1
another,inny / kolejny,zaimek,A1
answer,odpowiedź,rzeczownik,A1
answer,odpowiadać,czasownik,A1
anxious,zaniepokojony / lękowy,przymiotnik,B2
any,jakikolwiek / żaden,określnik,A1
any,jakikolwiek / żaden,zaimek,A1
any,w ogóle / nieco,przysłówek,A2
anybody,ktokolwiek / nikt,zaimek,A2
any more,już (nie),przysłówek,A2
anyone,ktokolwiek / nikt,zaimek,A1
anything,cokolwiek / nic,zaimek,A1
anyway,tak czy owak / w każdym razie,przysłówek,A2
anywhere,gdziekolwiek,przysłówek,A2
anywhere,gdziekolwiek,zaimek,A2
apart,osobno / oddzielnie,przysłówek,B1
apartment,mieszkanie,rzeczownik,A1
apologize,przepraszać,czasownik,B1
app,aplikacja,rzeczownik,A2
apparent,oczywisty / pozorny,przymiotnik,B2
apparently,widocznie / najwyraźniej,przysłówek,B2
appeal,apel / urok,rzeczownik,B2
appeal,apelować / podobać się,czasownik,B2
appear,pojawić się / wydawać się,czasownik,A2
appearance,wygląd,rzeczownik,A2
apple,jabłko,rzeczownik,A1
application,podanie / zastosowanie,rzeczownik,B1
apply,stosować / ubiegać się o,czasownik,A2
appointment,spotkanie / wizyta,rzeczownik,B1
appreciate,doceniać,czasownik,B1
approach,podejście / zbliżenie,rzeczownik,B2
approach,zbliżać się / podchodzić,czasownik,B2
appropriate,odpowiedni / właściwy,przymiotnik,B2
approval,aprobata / zatwierdzenie,rzeczownik,B2
approve,zatwierdzać / pochwalać,czasownik,B2
approximately,około / w przybliżeniu,przysłówek,B1
April,kwiecień,rzeczownik,A1
architect,architekt,rzeczownik,A2
architecture,architektura,rzeczownik,A2
area,obszar / dziedzina,rzeczownik,A1
argue,kłócić się / argumentować,czasownik,A2
argument,kłótnia / argument,rzeczownik,A2
arise,powstawać / wynikać,czasownik,B2
arm,ramię,rzeczownik,A1
armed,zbrojny,przymiotnik,B2
arms,broń,rzeczownik,B2
army,armia / wojsko,rzeczownik,A2
around,wokół / dookoła,przyimek,A1
around,wokół / około,przysłówek,A1
arrange,aranżować / organizować,czasownik,A2
arrangement,ustalenie / aranżacja,rzeczownik,A2
arrest,aresztować,czasownik,B1
arrest,aresztowanie,rzeczownik,B1
arrival,przyjazd / przylot,rzeczownik,B1
arrive,przyjechać / przybyć,czasownik,A1
art,sztuka,rzeczownik,A1
article,artykuł,rzeczownik,A1
artificial,sztuczny,przymiotnik,B2
artist,artysta,rzeczownik,A1
artistic,artystyczny,przymiotnik,B2
as,jako,przyimek,A1
as,gdy / ponieważ,spójnik,A2
as,tak jak,przysłówek,A2
ashamed,zawstydzony,przymiotnik,B2
ask,pytać / prosić,czasownik,A1
asleep,śpiący / we śnie,przymiotnik,A2
aspect,aspekt,rzeczownik,B2
assess,oceniać / szacować,czasownik,B2
assessment,ocena / oszacowanie,rzeczownik,B2
assignment,zadanie / zlecenie,rzeczownik,B1
assist,pomagać / asystować,czasownik,B1
assistant,asystent / pomocnik,rzeczownik,A2
assistant,pomocniczy,przymiotnik,A2
associate,kojarzyć / wiązać,czasownik,B2
associated,powiązany / połączony,przymiotnik,B2
association,stowarzyszenie / związek,rzeczownik,B2
assume,zakładać / przypuszczać,czasownik,B2
at,w / przy / na,przyimek,A1
athlete,lekkoatleta / sportowiec,rzeczownik,A2
atmosphere,atmosfera / nastrój,rzeczownik,B1
attach,załączyć / dołączyć,czasownik,B1
attack,atak,rzeczownik,A2
attack,atakować,czasownik,A2
attempt,próba,rzeczownik,B2
attempt,próbować,czasownik,B2
attend,uczęszczać / brać udział,czasownik,A2
attention,uwaga,rzeczownik,A2
attention,uwaga!,wykrzyknik,A2
attitude,postawa / nastawienie,rzeczownik,B1
attract,przyciągać,czasownik,B1
attraction,atrakcja / pociąg,rzeczownik,B1
attractive,atrakcyjny,przymiotnik,A2
audience,publiczność / widownia,rzeczownik,A2
August,sierpień,rzeczownik,A1
aunt,ciocia,rzeczownik,A1
author,autor,rzeczownik,A2
authority,autorytet / władza,rzeczownik,B1
autumn,jesień,rzeczownik,A1
available,dostępny,przymiotnik,A2
average,średni / przeciętny,przymiotnik,A2
average,średnia,rzeczownik,A2
average,wynosić średnio,czasownik,B1
avoid,unikać,czasownik,A2
award,nagroda,rzeczownik,A2
award,przyznać (nagrodę),czasownik,B1
aware,świadomy,przymiotnik,B1
away,daleko / stąd,przysłówek,A1
awful,okropny / straszny,przymiotnik,A2
baby,niemowlę / dziecko,rzeczownik,A1
back,plecy / tył,rzeczownik,A1
back,z powrotem / wstecz,przysłówek,A1
back,tylny,przymiotnik,A2
back,cofać / wspierać,czasownik,B2
background,tło / pochodzenie,rzeczownik,A2
backwards,do tyłu / wstecz,przysłówek,B1
bacteria,bakterie,rzeczownik,B2
bad,zły,przymiotnik,A1
badly,źle / bardzo,przysłówek,A2
bag,torba / worek,rzeczownik,A1
bake,piec,czasownik,B1
balance,równowaga,rzeczownik,B1
balance,balansować / równoważyć,czasownik,B1
ball,piłka,rzeczownik,A1
ban,zakazać,czasownik,B1
ban,zakaz,rzeczownik,B1
banana,banan,rzeczownik,A1
band,zespół / opaska,rzeczownik,A1
bank (money),bank,rzeczownik,A1
bank (river),brzeg (rzeki),rzeczownik,B1
bar,bar / lada,rzeczownik,A2
bar,zagradzać / blokować,czasownik,B2
barrier,bariera / przeszkoda,rzeczownik,B2
base,podstawa / baza,rzeczownik,B1
base,opierać na,czasownik,B1
baseball,baseball,rzeczownik,A2
based,oparty na,przymiotnik,A2
basic,podstawowy,przymiotnik,B1
basically,zasadniczo / w gruncie rzeczy,przysłówek,B2
basis,podstawa / baza,rzeczownik,B1
basketball,koszykówka,rzeczownik,A2
bath,kąpiel / wanna,rzeczownik,A1
bathroom,łazienka,rzeczownik,A1
battery,bateria / akumulator,rzeczownik,B1
battle,bitwa / walka,rzeczownik,B1
battle,walczyć,czasownik,B2
be,być,czasownik,A1
be,być (posiłkowy),czasownik posiłkowy,A1
beach,plaża,rzeczownik,A1
bean,fasola / ziarno,rzeczownik,A2
bear (deal with),znosić / wytrzymywać,czasownik,B2
bear (animal),niedźwiedź,rzeczownik,A2
beat,bić / pokonać,czasownik,A2
beat,rytm / uderzenie,rzeczownik,B2
beautiful,piękny,przymiotnik,A1
beauty,piękno / uroda,rzeczownik,B1
because,ponieważ / bo,spójnik,A1
become,stać się / zostać,czasownik,A1
bed,łóżko,rzeczownik,A1
bedroom,sypialnia,rzeczownik,A1
bee,pszczoła,rzeczownik,B1
beef,wołowina,rzeczownik,A2
beer,piwo,rzeczownik,A1
before,przed,przyimek,A1
before,zanim,spójnik,A2
before,wcześniej,przysłówek,A2
beg,błagać / żebrać,czasownik,B2
begin,zaczynać,czasownik,A1
beginning,początek,rzeczownik,A1
behave,zachowywać się,czasownik,A2
behaviour,zachowanie,rzeczownik,A2
behind,za / z tyłu,przyimek,A1
behind,z tyłu,przysłówek,A1
being,byt / istota,rzeczownik,B2
belief,wiara / przekonanie,rzeczownik,B1
believe,wierzyć,czasownik,A1
bell,dzwon / dzwonek,rzeczownik,B1
belong,należeć,czasownik,A2
below,poniżej,przysłówek,A1
below,pod / poniżej,przyimek,A1
belt,pasek,rzeczownik,A2
bend,zginać / schylać się,czasownik,B1
bend,zakręt / zgięcie,rzeczownik,B1
benefit,korzyść / pożytek,rzeczownik,A2
benefit,korzystać / odnosić korzyść,czasownik,B1
bent,zgięty / krzywy,przymiotnik,B2
best,najlepszy,przymiotnik,A1
best,najlepiej,przysłówek,A2
best,to co najlepsze,rzeczownik,A2
bet,zakładać się,czasownik,B2
bet,zakład,rzeczownik,B2
better,lepszy,przymiotnik,A1
better,lepiej,przysłówek,A2
better,poprawa / coś lepszego,rzeczownik,B1
between,pomiędzy,przyimek,A1
between,pomiędzy,przysłówek,A2
beyond,poza / ponad,przyimek,B2
beyond,dalej / poza tym,przysłówek,B2
bicycle,rower,rzeczownik,A1
big,duży,przymiotnik,A1
bike,rower,rzeczownik,A1
bill,rachunek / projekt ustawy,rzeczownik,A1
bill,wystawić rachunek,czasownik,B2
billion,miliard,liczebnik,A2
bin,kosz,rzeczownik,A2
biology,biologia,rzeczownik,A2
bird,ptak,rzeczownik,A1
birth,urodzenie / narodziny,rzeczownik,A2
birthday,urodziny,rzeczownik,A1
biscuit,herbatnik / ciastko,rzeczownik,A2
bit,kawałek / trochę,rzeczownik,A2
bite,gryźć / kęsać,czasownik,B1
bite,ugryzienie / kęs,rzeczownik,B1
bitter,gorzki,przymiotnik,B2
black,czarny,przymiotnik,A1
black,czerń,rzeczownik,A1
blame,obwiniać,czasownik,B2
blame,wina,rzeczownik,B2
blank,pusty / czysty,przymiotnik,A2
blank,puste miejsce,rzeczownik,A2
blind,niewidomy,przymiotnik,B2
block,blok / bryła,rzeczownik,B1
block,blokować / tamować,czasownik,B1
blog,blog,rzeczownik,A1
blonde,blond / jasnowłosy,przymiotnik,A1
blood,krew,rzeczownik,A2
blow,wiać / dmuchać,czasownik,A2
blue,niebieski,przymiotnik,A1
blue,błękit,rzeczownik,A1
board,tablica / zarząd,rzeczownik,A2
board,wchodzić na pokład,czasownik,B1
boat,łódź / statek,rzeczownik,A1
body,ciało,rzeczownik,A1
boil,gotować / wrzeć,czasownik,A2
bomb,bomba,rzeczownik,B1
bomb,bombardować,czasownik,B1
bond,więź / obligacja,rzeczownik,B2
bone,kość,rzeczownik,A2
book,książka,rzeczownik,A1
book,rezerwować,czasownik,A2
boot,but (wysoki) / bagażnik,rzeczownik,A1
border,granica,rzeczownik,B1
border,graniczyć,czasownik,B2
bored,znudzony,przymiotnik,A1
boring,nudny,przymiotnik,A1
born,urodzony,czasownik (forma bierna),A1
borrow,pożyczać (od kogoś),czasownik,A2
boss,szef,rzeczownik,A2
both,obaj / oba / oboje,określnik,A1
both,oba / oboje,zaimek,A1
bother,przeszkadzać / niepokoić,czasownik,B1
bottle,butelka,rzeczownik,A1
bottom,dno / spód,rzeczownik,A2
bottom,dolny,przymiotnik,A2
bowl,miska,rzeczownik,A2
box,pudełko / skrzynka,rzeczownik,A1
boy,chłopiec,rzeczownik,A1
boyfriend,chłopak (partner),rzeczownik,A1
brain,mózg,rzeczownik,A2
branch,gałąź / oddział,rzeczownik,B1
brand,marka,rzeczownik,B1
brand,znakować,czasownik,B1
brave,dzielny / odważny,przymiotnik,B1
bread,chleb,rzeczownik,A1
break,przerwa,rzeczownik,A1
break,psuć / łamać / przerywać,czasownik,A1
breakfast,śniadanie,rzeczownik,A1
breast,pierś,rzeczownik,B2
breath,oddech,rzeczownik,B1
breathe,oddychać,czasownik,B1
breathing,oddychanie,rzeczownik,B1
bride,panna młoda,rzeczownik,B1
bridge,most,rzeczownik,A2
brief,krótki / zwięzły,przymiotnik,B2
bright,jasny / bystry,przymiotnik,A2
brilliant,znakomity / błyskotliwy,przymiotnik,A2
bring,przynosić,czasownik,A1
broad,szeroki,przymiotnik,B2
broadcast,nadawać / transmitować,czasownik,B2
broadcast,audycja / transmisja,rzeczownik,B2
broken,zepsuty / złamany,przymiotnik,A2
brother,brat,rzeczownik,A1
brown,brązowy,przymiotnik,A1
brown,brąz,rzeczownik,A1
brush,szczotkować / czesać,czasownik,A2
brush,szczotka / pędzel,rzeczownik,A2
bubble,bańka / pęcherzyk,rzeczownik,B1
budget,budżet,rzeczownik,B2
build,budować,czasownik,A1
building,budynek,rzeczownik,A1
bullet,pocisk / kula,rzeczownik,B2
bunch,pęk / kiść / wiązka,rzeczownik,B2
burn,parzyć / płonąć / palić,czasownik,A2
burn,oparzenie,rzeczownik,B2
bury,chować / grzebać,czasownik,B1
bus,autobus,rzeczownik,A1
bush,krzak / krzew,rzeczownik,B2
business,biznes / interesy,rzeczownik,A1
businessman,biznesmen,rzeczownik,A2
busy,zajęty,przymiotnik,A1
but,ale / lecz,spójnik,A1
but,oprócz,przyimek,B2
butter,masło,rzeczownik,A1
button,guzik / przycisk,rzeczownik,A2
buy,kupować,czasownik,A1
by,przez / przy / obok,przyimek,A1
by,blisko / obok,przysłówek,B1
bye,pa / do widzenia,wykrzyknik,A1
cable,kabel / przewód,rzeczownik,B2
cafe,kawiarnia,rzeczownik,A1
cake,ciasto / ciastko,rzeczownik,A1
calculate,obliczać,czasownik,B2
call,dzwonić / wołać / nazywać,czasownik,A1
call,rozmowa / zawołanie,rzeczownik,A1
calm,spokojny,przymiotnik,B1
calm,uspokajać,czasownik,B1
calm,spokój,rzeczownik,B1
camera,aparat / kamera,rzeczownik,A1
camp,obóz,rzeczownik,A2
camp,obozować,czasownik,A2
campaign,kampania,rzeczownik,B1
campaign,prowadzić kampanię,czasownik,B1
camping,biwakowanie / camping,rzeczownik,A2
campus,kampus,rzeczownik,B1
can (modal),móc / potrafić,czasownik modalny,A1
can (container),puszka,rzeczownik,A2
cancel,odwołać / anulować,czasownik,B2
cancer,rak / nowotwór,rzeczownik,B2
candidate,kandydat,rzeczownik,B1
cannot,nie móc,czasownik,A1
cap,czapka / nasadka,rzeczownik,B1
capable,zdolny / potrafiący,przymiotnik,B2
capacity,pojemność / zdolność,rzeczownik,B2
capital,stolica,rzeczownik,A1
capital,wielki (o literze) / główny,przymiotnik,A1
captain,kapitan,rzeczownik,B1
capture,schwytać / zdobyć,czasownik,B2
capture,pojmowanie / zdobycie,rzeczownik,B2
car,samochód,rzeczownik,A1
card,karta,rzeczownik,A1
care,opieka / troska,rzeczownik,A2
care,troszczyć się / dbać,czasownik,A2
career,kariera,rzeczownik,A1
careful,ostrożny / uważny,przymiotnik,A2
carefully,ostrożnie / uważnie,przysłówek,A2
careless,nieostrożny / niedbały,przymiotnik,B1
carpet,dywan,rzeczownik,A2
carrot,marchewka,rzeczownik,A1
carry,nieść / nosić / przewozić,czasownik,A1
cartoon,kreskówka / rysunek satyryczny,rzeczownik,A2
case,przypadek / sprawa / walizka,rzeczownik,A2
cash,gotówka,rzeczownik,A2
cast,obsada (filmu),rzeczownik,B2
cast,rzucać / obsadzać role,czasownik,B2
castle,zamek,rzeczownik,A2
cat,kot,rzeczownik,A1
catch,łapać / chwytać,czasownik,A2
catch,haczyk / chwyt,rzeczownik,B2
category,kategoria,rzeczownik,B1
cause,przyczyna / powód,rzeczownik,A2
cause,powodować,czasownik,A2
CD,płyta CD,rzeczownik,A1
ceiling,sufit,rzeczownik,B1
celebrate,świętować / celebrować,czasownik,A2
celebration,uroczystość / świętowanie,rzeczownik,B1
celebrity,celebryta / sława,rzeczownik,A2
cell,komórka,rzeczownik,B2
cent,cent,rzeczownik,A1
central,centralny / główny,przymiotnik,B1
centre,centrum / środek,rzeczownik,A1
centre,koncentrować się / umieszczać w centrum,czasownik,B1
century,wiek / stulecie,rzeczownik,A1
ceremony,ceremonia / uroczystość,rzeczownik,B1
certain,pewny / konkretny,przymiotnik,A2
certainly,na pewno / oczywiście,przysłówek,A2
chain,łańcuch / sieć,rzeczownik,B1
chain,wiązać łańcuchem,czasownik,B2
chair,krzesło,rzeczownik,A1
chair,przewodniczyć,czasownik,B2
chairman,przewodniczący,rzeczownik,B2
challenge,wyzwanie,rzeczownik,B1
challenge,wyzywać / kwestionować,czasownik,B2
champion,mistrz / czempion,rzeczownik,B1
chance,szansa / okazja,rzeczownik,A2
change,zmieniać,czasownik,A1
change,zmiana / reszta (pieniędzy),rzeczownik,A1
channel,kanał,rzeczownik,B1
chapter,rozdział,rzeczownik,B1
character,postać / charakter,rzeczownik,A2
characteristic,cecha / charakterystyka,rzeczownik,B2
characteristic,charakterystyczny,przymiotnik,B2
charge,opłata,rzeczownik,B1
charge,pobierać opłatę / ładować,czasownik,B1
charity,organizacja charytatywna / dobroczynność,rzeczownik,A2
chart,wykres / tabela,rzeczownik,A1
chart,sporządzać wykres,czasownik,B2
chat,rozmawiać / czatować,czasownik,A2
chat,pogawędka / czat,rzeczownik,A2
cheap,tani,przymiotnik,A1
cheap,tanio,przysłówek,B1
cheat,oszukiwać,czasownik,B1
cheat,oszust / ściąga,rzeczownik,B1
check,sprawdzać / kontrolować,czasownik,A1
check,kontrola / czek,rzeczownik,A2
cheerful,radosny / pogodny,przymiotnik,B1
cheese,ser,rzeczownik,A1
chef,szef kuchni,rzeczownik,A2
chemical,chemiczny,przymiotnik,B1
chemical,chemikalia / substancja chemiczna,rzeczownik,B1
chemistry,chemia,rzeczownik,A2
chest,klatka piersiowa / skrzynia,rzeczownik,B1
chicken,kurczak,rzeczownik,A1
chief,główny / naczelny,przymiotnik,B2
chief,wódz / szef,rzeczownik,B2
child,dziecko,rzeczownik,A1
childhood,dzieciństwo,rzeczownik,B1
chip,frytka / chip / odprysk,rzeczownik,A2
chocolate,czekolada,rzeczownik,A1
choice,wybór,rzeczownik,A2
choose,wybierać,czasownik,A1
church,kościół,rzeczownik,A2
cigarette,papieros,rzeczownik,A2
cinema,kino,rzeczownik,A1
circle,koło / krąg,rzeczownik,A2
circle,krążyć / zakreślać kołem,czasownik,A2
circumstance,okoliczność,rzeczownik,B2
cite,cytować / przytaczać,czasownik,B2
citizen,obywatel,rzeczownik,B2
city,miasto,rzeczownik,A1
civil,cywilny / obywatelski,przymiotnik,B2
claim,twierdzić / żądać,czasownik,B1
claim,twierdzenie / roszczenie,rzeczownik,B1
class,klasa / lekcja,rzeczownik,A1
classic,klasyczny,przymiotnik,B2
classic,klasyk,rzeczownik,B2
classical,klasyczny (np. muzyka),przymiotnik,A2
classroom,sala lekcyjna,rzeczownik,A1
clause,klauzula / punkt / zdanie składowe,rzeczownik,B1
clean,czysty,przymiotnik,A1
clean,czyścić / sprzątać,czasownik,A1
clear,jasny / wyraźny / czysty,przymiotnik,A2
clear,sprzątać / czyścić / przejaśniać się,czasownik,B1
clearly,wyraźnie / jasno,przysłówek,A2
clever,mądry / sprytny,przymiotnik,A2
click,klikać,czasownik,B1
click,kliknięcie,rzeczownik,B1
client,klient,rzeczownik,B1
climate,klimat,rzeczownik,A2
climb,wspinać się,czasownik,A1
climb,wspinaczka,rzeczownik,B1
clock,zegar,rzeczownik,A1
close,zamykać,czasownik,A1
close,koniec / zamknięcie,rzeczownik,B2
close,bliski,przymiotnik,A2
close,blisko,przysłówek,B1
closed,zamknięty,przymiotnik,A2
closely,ściśle / uważnie,przysłówek,B2
cloth,szmatka / tkanina,rzeczownik,B1
clothes,ubrania,rzeczownik,A1
clothing,odzież / ubranie,rzeczownik,A2
cloud,chmura,rzeczownik,A2
club,klub,rzeczownik,A1
clue,wskazówka / trop,rzeczownik,B1
coach,autokar / trener,rzeczownik,A2
coach,trenować,czasownik,B1
coal,węgiel,rzeczownik,B1
coast,wybrzeże,rzeczownik,A2
coat,płaszcz / kurtka,rzeczownik,A1
code,kod / szyfr,rzeczownik,A2
coffee,kawa,rzeczownik,A1
coin,moneta,rzeczownik,B1
cold,zimny,przymiotnik,A1
cold,zimno / przeziębienie,rzeczownik,A1
collapse,zawalić się / zemdleć,czasownik,B2
collapse,upadek / zawalenie się,rzeczownik,B2
colleague,kolega z pracy,rzeczownik,A2
collect,zbierać / kolekcjonować,czasownik,A2
collection,kolekcja / zbiór,rzeczownik,B1
college,uczelnia / kolegium,rzeczownik,A1
colour,kolor,rzeczownik,A1
colour,kolorować,czasownik,B1
coloured,kolorowy,przymiotnik,B1
column,kolumna / rubryka,rzeczownik,A2
combination,połączenie / kombinacja,rzeczownik,B2
combine,łączyć / mieszać,czasownik,B1
come,przychodzić / przyjeżdżać,czasownik,A1
comedy,komedia,rzeczownik,A2
comfort,komfort / wygoda,rzeczownik,B2
comfort,pocieszać,czasownik,B2
comfortable,wygodny,przymiotnik,A2
command,rozkaz / polecenie,rzeczownik,B2
command,rozkazywać / dowodzić,czasownik,B2
comment,komentarz / uwaga,rzeczownik,A2
comment,komentować,czasownik,B1
commercial,handlowy / komercyjny,przymiotnik,B1
commercial,reklama (radiowa lub telewizyjna),rzeczownik,B1
commission,prowizja / zlecenie,rzeczownik,B2
commission,zlecać,czasownik,B2
commit,popełnić / zobowiązać się,czasownik,B1
commitment,zobowiązanie / oddanie,rzeczownik,B2
committee,komitet / komisja,rzeczownik,B2
common,powszechny / wspólny,przymiotnik,A1
common,wspólny obszar / błonia,rzeczownik,B2
commonly,powszechnie,przysłówek,B2
communicate,komunikować się,czasownik,A2
communication,komunikacja / łączność,rzeczownik,B1
community,społeczność / wspólnota,rzeczownik,A2
company,firma / towarzystwo,rzeczownik,A1
compare,porównywać,czasownik,A1
comparison,porównanie,rzeczownik,B1
compete,rywalizować / konkurować,czasownik,A2
competition,konkurs / konkurencja,rzeczownik,A2
competitive,konkurencyjny,przymiotnik,B1
competitor,konkurent / zawodnik,rzeczownik,B1
complain,narzekać / składać skargę,czasownik,A2
complaint,skarga / reklamacja,rzeczownik,B1
complete,pełny / kompletny,przymiotnik,A1
complete,kończyć / wypełniać,czasownik,A1
completely,całkowicie / zupełnie,przysłówek,A2
complex,złożony / skomplikowany,przymiotnik,B1
complex,kompleks (budynków),rzeczownik,B2
complicated,skomplikowany,przymiotnik,B2
component,składnik / komponent,rzeczownik,B2
computer,komputer,rzeczownik,A1
concentrate,skupiać się / koncentrować,czasownik,B1
concentration,koncentracja / skupienie,rzeczownik,B2
concept,pojęcie / koncepcja,rzeczownik,B2
concern,niepokój / troska,rzeczownik,B2
concern,dotyczyć / niepokoić,czasownik,B2
concerned,zaniepokojony / zainteresowany,przymiotnik,B2
concert,koncert,rzeczownik,A1
conclude,wyciągać wnioski / kończyć,czasownik,B1
conclusion,wniosek / zakończenie,rzeczownik,B1
condition,warunek / stan,rzeczownik,A2
conduct,przeprowadzać / prowadzić,czasownik,B2
conduct,zachowanie / prowadzenie się,rzeczownik,B2
conference,konferencja,rzeczownik,A2
confidence,pewność siebie / zaufanie,rzeczownik,B2
confident,pewny siebie,przymiotnik,B1
confirm,potwierdzać,czasownik,B1
conflict,konflikt / spór,rzeczownik,B2
conflict,sprzeczać się / kolidować,czasownik,B2
confuse,mylić / mącić w głowie,czasownik,B1
confused,zdezorientowany / zmieszany,przymiotnik,B1
confusing,mylący / zagmatwany,przymiotnik,B2
connect,łączyć / kojarzyć,czasownik,A2
connected,połączony / związany,przymiotnik,A2
connection,połączenie / związek,rzeczownik,B1
conscious,świadomy,przymiotnik,B2
consequence,konsekwencja / skutek,rzeczownik,B1
